"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
149332016,14933,2016,"OK0010000","OK0010000","","N","N",,"I","ADAIR","ADAIR","Adair","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",15865,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",7,0,7,2,0,2,0,0,01-JAN-08,01-JUL-11,01-SEP-11,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149342016,14934,2016,"OK0010100","OK0010100","","N","N",,"I","STILWELL","STILWELL","Stilwell","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",4026,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,1,13,0,4,4,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149352016,14935,2016,"OK0010200","OK0010200","","N","N",,"I","WESTVILLE","WESTVILLE","Westville","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1554,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,1,6,0,3,3,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149362016,14936,2016,"OK0011000","OK0011000","","N","N",,"I","WATTS","WATTS","Watts","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",308,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,1,1,0,0,01-JAN-08,01-FEB-16,01-JUL-16,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
149372016,14937,2016,"OK0020000","OK0020000","","N","N",,"I","ALFALFA","ALFALFA","Alfalfa","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",4314,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",6,1,7,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ALFALFA","Non-MSA","Y","Y","Y"
149382016,14938,2016,"OK0020100","OK0020100","","N","N",,"I","CHEROKEE","CHEROKEE","Cherokee","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1574,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ALFALFA","Non-MSA","Y","Y","Y"
149412016,14941,2016,"OK0030000","OK0030000","","N","N",,"I","ATOKA","ATOKA","Atoka","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",9701,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,7,14,1,8,9,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149422016,14942,2016,"OK0030100","OK0030100","","N","N",,"I","ATOKA","ATOKA","Atoka","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",3055,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,1,1,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149432016,14943,2016,"OK0030200","OK0030200","","N","N",,"I","CANEY","CANEY","Caney","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",197,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149442016,14944,2016,"OK0030800","OK0030800","","N","N",,"I","STRINGTOWN","STRINGTOWN","Stringtown","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",400,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-JAN-08,01-MAR-09,01-OCT-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149452016,14945,2016,"OK0030900","OK0030900","","N","N",,"I","TUSHKA","TUSHKA","Tushka","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",300,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-08,01-FEB-08,01-JAN-09,,,,"N","ATOKA","Non-MSA","Y","Y","Y"
149462016,14946,2016,"OK0040000","OK0040000","","N","N",,"I","BEAVER","BEAVER","Beaver","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",3917,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,2,9,0,6,6,0,0,01-JAN-08,01-NOV-11,01-JAN-12,,,,"N","BEAVER","Non-MSA","Y","Y","Y"
149472016,14947,2016,"OK0040200","OK0040200","","N","N",,"I","BEAVER","BEAVER","Beaver","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1442,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-08,01-JAN-11,01-MAR-11,,,,"N","BEAVER","Non-MSA","Y","Y","Y"
149482016,14948,2016,"OK0050000","OK0050000","","N","N",,"I","BECKHAM","BECKHAM","Beckham","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",6211,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",13,12,25,1,14,15,0,0,01-JAN-08,01-MAY-11,01-JUL-11,,,,"N","BECKHAM","Non-MSA","Y","Y","Y"
149492016,14949,2016,"OK0050100","OK0050100","","N","N",,"I","ELK CITY","ELK CITY","Elk City","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",12939,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,2,27,2,12,14,0,0,01-JAN-08,01-JUN-11,01-AUG-11,,,,"N","BECKHAM","Non-MSA","Y","Y","Y"
149512016,14951,2016,"OK0050300","OK0050300","","N","N",,"I","SAYRE","SAYRE","Sayre","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",4858,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,5,5,0,0,01-JAN-08,01-DEC-11,01-FEB-12,,,,"N","BECKHAM","Non-MSA","Y","Y","Y"
149522016,14952,2016,"OK0060000","OK0060000","","N","N",,"I","BLAINE","BLAINE","Blaine","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","County",4803,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",4,3,7,2,5,7,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BLAINE","Non-MSA","Y","Y","Y"
149532016,14953,2016,"OK0060100","OK0060100","","N","N",,"I","WATONGA","WATONGA","Watonga","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",3002,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,1,9,0,1,1,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BLAINE","Non-MSA","Y","Y","Y"
149552016,14955,2016,"OK0060500","OK0060500","","N","N",,"I","GEARY","GEARY","Geary","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",1309,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",6,3,9,0,3,3,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","CANADIAN; BLAINE","Oklahoma City, OK","Y","Y","Y"
149602016,14960,2016,"OK0070200","OK0070200","","N","N",,"I","ACHILLE","ACHILLE","Achille","","A",40,"Oklahoma","OK","OK","7","West South Central","3","South","Region III","City",513,23386,"OKUCR0001","Oklahoma State Bureau of Investigation Uniform Crime Reporting Section","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,2,2,0,0,01-JAN-08,01-JAN-08,01-JAN-09,,,,"N","BRYAN","Non-MSA","Y","N","Y"
