name,city,type,beerCounts,established
 Avondale Brewing Company,Birmingham_Alabama_opened,Microbrewery,55,2011
 Back Forty Beer Company,Gadsden_Alabama_opened,Microbrewery,30,2009
 Below the Radar Brewing Company,Huntsville_Alabama_opened,Brewpub,22,2013
 Big Beach Brewing Company,Gulf Shores_Alabama_opened,Microbrewery,20,2016
 Birmingham District Brewing Company,Birmingham_Alabama_opened,Commercial Brewery,17,2019
 Black Warrior Brewing Company,Tuscaloosa_Alabama_opened,Brewpub/Brewery,23,2013
 Bluewater Brewing Company,Florence_Alabama_opened,Microbrewery,2,2016
 Bowler Hat Brewing,Madison_Alabama_opened,Commercial Brewery,9,2020
 Cahaba Brewing Company,Birmingham_Alabama_opened,Microbrewery,46,2012
 Chattahoochee Brewing Company,Phenix City_Alabama_opened,Brewpub,9,2009
 Common Bond Brewers,Montgomery_Alabama_opened,Microbrewery,8,2019
 Crazy Sista Brewing,Gulf Shores_Alabama_opened,Client Brewer,1,2013
 Cross-Eyed Owl Brewing Company,Decatur_Alabama_opened,Microbrewery,13,2019
 Druid City Brewing,Tuscaloosa_Alabama_opened,Microbrewery,17,2012
 Emerald Coast Beer Company,Birmingham_Alabama_opened,Client Brewer,4,2010
 Fairhope Brewing Company,Fairhope_Alabama_opened,Microbrewery,122,2012
 Ferus Artisan Ales,Trussville_Alabama_opened,Microbrewery,15,2019
 Folklore Brewing & Meadery,Dothan_Alabama_opened,Microbrewery,12,2013
 Fractal Brewing Project,Huntsville_Alabama_opened,Microbrewery,16,2019
 Ghost Train Brewing Company,Birmingham_Alabama_opened,Client Brewer,31,2015
 Goat Island Brewing,Cullman_Alabama_opened,Microbrewery,11,2016
 Good People Brewing Company,Birmingham _Alabama_opened,Microbrewery,54,2008
 Green Bus Brewing,Huntsville_Alabama_opened,Microbrewery,74,2016
 Haint Blue Brewing Company,Mobile_Alabama_opened,Microbrewery,4,2017
 InnerSpace Brewing Company,Huntsville_Alabama_opened,Microbrewery,38,2018
 Mad Malts Brewing,Huntsville_Alabama_opened,Microbrewery,33,2013
 Main Channel Brewing Company,Guntersville_Alabama_opened,Microbrewery,5,2015
 Old Black Bear Brewing Company,Madison_Alabama_opened,Microbrewery,22,2012
 Railyard Brewing Company,Montgomery_Alabama_opened,Brewpub,26,2012
 Rammer Jammer Beer Company,Birmingham_Alabama_opened,Client Brewer,1,2013
 Red Clay Brewing Company,Opelika_Alabama_opened,Microbrewery,11,2016
 Rocket Republic Brewing Company,Madison_Alabama_opened,Client Brewer,87,2013
 Salty Nut Brewery,Huntsville_Alabama_opened,Microbrewery,43,2013
 Serda Brewing Company,Mobile_Alabama_opened,Microbrewery,7,2018
 Siluria Brewing,Alabaster_Alabama_opened,Microbrewery,10,2019
 Singin' River Brewing Company,Florence_Alabama_opened,Microbrewery,26,2014
 Slag Heap Brewing Company,Trussville_Alabama_opened,Microbrewery,8,2019
 Straight To Ale,Huntsville_Alabama_opened,Microbrewery,213,2009
 Tallulah Brewing Company,Jasper_Alabama_opened,Microbrewery,13,2019
 The Grocery Brewpub,Homewood_Alabama_opened,Brewpub,4,2019
 TrimTab Brewing,Birmingham_Alabama_opened,Microbrewery,87,2013
 True Story Brewing Company,Birmingham_Alabama_opened,Microbrewery,2,2020
 Twisted Barley Brewing Company,Jasper_Alabama_opened,Microbrewery,1,2019
 Yellowhammer Brewing,Huntsville_Alabama_opened,Microbrewery,117,2010
 Band of Brothers Brewing Company,Tuscaloosa_Alabama_closed,Microbrewery,10,2015
 Beer Engineers,Birmingham_Alabama_closed,Client Brewer,12,2012
 Birmingham Brewing Company,Birmingham                      _Alabama_closed,Microbrewery,1,1999
 Blue Moose Cafe & Brewpub,Cullman_Alabama_closed,Brewpub,1,2013
 Blue Pants Brewery,Madison_Alabama_closed,Microbrewery,152,2010
 Cheaha Brewing Company, Anniston_Alabama_closed,Brewpub,36,2013
 Hurricane Brewing Company,Mobile_Alabama_closed,Brewpub,15,2006
 Montgomery Brewing Company (AL),Montgomery_Alabama_closed,Brewpub,23,2003
 Mr Jim's Cannon Brew Pub,Mobile_Alabama_closed,Brewpub,10,2004
 Olde Auburn Ale House (AL),Auburn_Alabama_closed,Brewpub,25,2002
 Olde Towne Brewing Company,Huntsville_Alabama_closed,Microbrewery,12,2004
 Patriot Joe's Ale,Anniston_Alabama_closed,Brewpub,7,2012
 Red Hills Brewing Company,Homewood_Alabama_closed,Microbrewery,8,2016
 49th State Brewery,Healy_Alaska_opened,Brewpub,120,2011
 Alaskan Brewing Company,Juneau_Alaska_opened,Microbrewery,112,1986
 Anchorage Brewing Company,Anchorage_Alaska_opened,Microbrewery,177,2011
 Arkose Brewery,Palmer_Alaska_opened,Microbrewery,92,2011
