title,url,metaScore,userScore,genre
Persona 5 Royal,https://www.metacritic.com/game/playstation-4/persona-5-royal,95,8.2,"Genre(s): Role-Playing,                                            Japanese-Style                                    "
The Last of Us Part II,https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii,93,5.7,"Genre(s): General,                                            Action Adventure,                                            Survival                                    "
Hades,https://www.metacritic.com/game/switch/hades,93,9,"Genre(s): Action Adventure,                                            General,                                            Linear                                    "
Half-Life: Alyx,https://www.metacritic.com/game/pc/half-life-alyx,93,9.1,"Genre(s): Action,                                            First-Person,                                            Shooter,                                            Arcade                                    "
Ori and the Will of the Wisps,https://www.metacritic.com/game/switch/ori-and-the-will-of-the-wisps,93,9,"Genre(s): Action,                                            Platformer,                                            2D                                    "
Hades,https://www.metacritic.com/game/pc/hades,92,8.9,"Genre(s): Action Adventure,                                            General,                                            Linear                                    "
Microsoft Flight Simulator,https://www.metacritic.com/game/pc/microsoft-flight-simulator,91,7.2,"Genre(s): Simulation,                                            Flight,                                            Civilian                                    "
Demon's Souls,https://www.metacritic.com/game/playstation-5/demons-souls,91,8.9,"Genre(s): Role-Playing,                                            Action RPG                                    "
Crusader Kings III,https://www.metacritic.com/game/pc/crusader-kings-iii,91,8.4,"Genre(s): Strategy,                                            Real-Time,                                            General                                    "
F1 2020,https://www.metacritic.com/game/xbox-one/f1-2020,91,7.2,"Genre(s): Racing,                                            Simulation,                                            Automobile                                    "
Spelunky 2,https://www.metacritic.com/game/pc/spelunky-2,91,7,"Genre(s): Action,                                            Platformer,                                            2D                                    "
Animal Crossing: New Horizons,https://www.metacritic.com/game/switch/animal-crossing-new-horizons,90,5.5,"Genre(s): Simulation,                                            Virtual,                                            Virtual Life                                    "
Yakuza: Like a Dragon,https://www.metacritic.com/game/xbox-one/yakuza-like-a-dragon,90,8,"Genre(s): Role-Playing,                                            Japanese-Style                                    "
